,Player,Points,Games
408,Bob Williams,35.0,20.0
409,Bob Wilson,236.0,63.0
410,Bob Wood,7.0,6.0
411,Boban Marjanovic,244.0,54.0
412,Bobby Brown,173.42857142857142,68.0
413,Bobby Cattage,121.0,49.0
414,Bobby Cook,587.0,51.0
415,Bobby Hurley,183.14285714285714,72.0
416,Bobby Jackson,564.0714285714286,81.0
417,Bobby Jones,551.5882352941177,82.0
418,Bobby Lewis,370.25,79.0
419,Bobby Phills,572.5555555555555,80.0
420,Bobby Portis,436.5,64.0
421,Bobby Simmons,418.9,75.0
422,Bobby Smith,18.5,10.0
423,Bobby Wanzer*,788.875,72.0
424,Bobby Washington,350.0,69.0
425,Bobby Watson,175.0,63.0
426,Bobby Wilson,198.0,58.0
427,Bojan Bogdanovic,762.6,81.0
428,Bones McKinney,270.6,63.0
429,Boniface N'Dong,50.0,23.0
430,Bonzi Wells,621.0714285714286,75.0
431,Boo Ellis,303.5,72.0
432,Boris Diaw,587.5555555555555,82.0
433,Boris Nachamkin,20.0,6.0
434,Bostjan Nachbar,290.3,76.0
435,Bracey Wright,64.5,19.0
436,Brad Branson,195.5,62.0
437,Brad Daugherty,1298.625,80.0
438,Brad Davis,422.4736842105263,82.0
439,Brad Holland,70.0,41.0
440,Brad Lohaus,310.88235294117646,81.0
441,Brad Miller,643.7222222222222,82.0
442,Brad Sellers,346.625,82.0
443,Brad Wright,27.0,14.0
444,Bradley Beal,1145.6,77.0
445,Brady Walker,302.4,68.0
446,Brandan Wright,251.57142857142858,75.0
447,Branden Dawson,5.0,6.0
448,Brandin Knight,0.0,1.0
449,Brandon Armstrong,79.66666666666667,56.0
450,Brandon Bass,547.9166666666666,82.0
451,Brandon Davies,107.0,51.0
452,Brandon Hunter,110.0,36.0
453,Brandon Ingram,740.0,79.0
454,Brandon Jennings,719.75,82.0
455,Brandon Knight,861.25,75.0
456,Brandon Roy,1022.6666666666666,78.0
457,Brandon Rush,361.1111111111111,82.0
458,Brandon Williams,13.666666666666666,9.0
459,Brant Weidner,8.0,8.0
460,Brendan Haywood,416.1333333333333,81.0
461,Brendan McCann,24.666666666666668,36.0
462,Brent Barry,569.9375,81.0
463,Brent Price,275.6666666666667,81.0
464,Brent Scott,19.0,16.0
465,Brett Szabo,153.0,70.0
466,Brett Vroman,34.0,11.0
467,Brevin Knight,349.1764705882353,80.0
468,Brian Cardinal,175.66666666666666,76.0
469,Brian Cook,180.33333333333334,81.0
470,Brian Davis,131.0,68.0
471,Brian Evans,104.28571428571429,72.0
472,Brian Grant,661.0833333333334,82.0
473,Brian Heaney,28.0,14.0
474,Brian Howard,285.0,68.0
475,Brian Martin,4.0,8.0
476,Brian Oliver,97.25,73.0
477,Brian Quinnett,117.8,68.0
478,Brian Roberts,323.42857142857144,78.0
479,Brian Rowsom,152.33333333333334,44.0
480,Brian Scalabrine,144.9090909090909,71.0
481,Brian Shaw,411.8888888888889,82.0
482,Brian Skinner,183.33333333333334,77.0
483,Brian Taylor,677.3333333333334,80.0
484,Brian Winters,1170.7777777777778,80.0
485,Briante Weber,31.0,20.0
486,Brice Johnson,4.0,3.0
487,Britton Johnsen,27.0,20.0
488,Brook Lopez,1160.4444444444443,82.0
489,Brook Steppe,259.4,62.0
490,Brooks Thompson,158.0,67.0
491,Bruce Bowen,365.73333333333335,82.0
492,Bruce Douglas,14.0,8.0
493,Bruce Flowers,261.0,53.0
494,Bruce Hale,375.5,64.0
495,Bruce Kuczenski,14.0,15.0
496,Bruce Seals,807.3333333333334,81.0
497,Bruno Caboclo,9.0,9.0
498,Bruno Sundov,20.444444444444443,26.0
499,Bryan Warrick,150.66666666666666,58.0
500,Bryant Reeves,824.1666666666666,77.0
501,Bryant Stith,594.6,82.0
502,Bryce Cotton,24.0,15.0
503,Bryce Dejean-Jones,79.0,14.0
504,Bryce Drew,180.16666666666666,72.0
505,Bryn Forbes,94.0,36.0
506,Bryon Russell,512.5384615384615,82.0
507,Bubba Wells,128.0,39.0
508,Bubba Wilson,17.0,16.0
509,Buck Johnson,659.5714285714286,82.0
510,Buck Williams,987.2941176470588,82.0
